Time,Open,High,Low,Last,Change,%Chg,Volume
08/31/2021,73.482,73.492,73.174,73.265,-0.217,-0.30%,33202
08/30/2021,73.449,73.67,73.309,73.482,0.03,+0.04%,31300
08/27/2021,74.237,74.288,73.452,73.452,-0.784,-1.06%,38526
08/26/2021,73.88,74.464,73.781,74.236,0.357,+0.48%,34731
08/25/2021,73.74,74.054,73.652,73.879,0.135,+0.18%,31987
08/24/2021,74.042,74.1,73.688,73.744,-0.295,-0.40%,33550
08/23/2021,74.241,74.241,73.903,74.039,-0.205,-0.28%,34688
08/20/2021,74.222,74.576,73.981,74.244,0.022,+0.03%,40311
08/19/2021,73.773,74.31,73.751,74.222,0.448,+0.61%,42857
08/18/2021,73.59,73.828,73.341,73.774,0.181,+0.25%,34270
08/17/2021,73.291,73.606,73.278,73.593,0.302,+0.41%,37452
08/16/2021,73.234,73.483,73.198,73.291,0.056,+0.08%,31687
08/13/2021,73.571,73.614,73.145,73.235,-0.336,-0.46%,33020
08/12/2021,73.425,73.665,73.336,73.571,0.148,+0.20%,34302
08/11/2021,73.933,74.127,73.32,73.423,-0.51,-0.69%,36625
08/10/2021,73.635,74.037,73.493,73.933,0.297,+0.40%,34339
08/09/2021,73.351,73.665,73.351,73.636,0.297,+0.40%,32121
08/06/2021,73.081,73.516,72.987,73.339,0.258,+0.35%,35279
08/05/2021,73.19,73.268,72.982,73.081,-0.111,-0.15%,32173
08/04/2021,72.971,73.254,72.697,73.192,0.221,+0.30%,31798
08/03/2021,72.992,73.183,72.773,72.971,-0.024,-0.03%,31246
08/02/2021,73.1,73.29,72.672,72.995,-0.106,-0.15%,33088
07/30/2021,73.126,73.423,72.727,73.101,-0.02,-0.03%,37519
07/29/2021,73.512,73.512,72.987,73.121,-0.39,-0.53%,32236
07/28/2021,73.736,73.802,73.378,73.511,-0.225,-0.31%,35199
07/27/2021,73.65,73.927,73.574,73.736,0.089,+0.12%,37536
07/26/2021,73.764,74.258,73.59,73.647,-0.123,-0.17%,34988
07/23/2021,73.623,73.813,73.503,73.77,0.146,+0.20%,34260
07/22/2021,73.932,73.984,73.59,73.624,-0.307,-0.42%,38059
07/21/2021,74.361,74.552,73.877,73.931,-0.427,-0.57%,37031
07/20/2021,74.679,74.703,74.262,74.358,-0.317,-0.42%,39873
07/19/2021,74.051,74.76,74.051,74.675,0.627,+0.85%,45083
07/16/2021,74.348,74.401,73.941,74.048,-0.299,-0.40%,37295
07/15/2021,74.074,74.399,74.053,74.347,0.274,+0.37%,38974
07/14/2021,74.309,74.359,73.932,74.073,-0.236,-0.32%,42378
07/13/2021,74.434,74.434,73.879,74.309,-0.128,-0.17%,49335
07/12/2021,74.355,74.785,74.24,74.437,0.075,+0.10%,42822
07/09/2021,74.707,74.756,74.163,74.362,-0.344,-0.46%,43232
07/08/2021,74.652,75.34,74.545,74.706,0.051,+0.07%,54520
07/07/2021,74.482,74.907,73.931,74.655,0.175,+0.23%,44347
07/06/2021,73.438,74.77,73.153,74.48,1.041,+1.42%,40397
07/05/2021,73.188,73.582,73.188,73.439,0.253,+0.35%,27470
07/02/2021,73.404,73.777,73.128,73.186,-0.218,-0.30%,35422
07/01/2021,73.109,73.462,72.8,73.404,0.296,+0.40%,36650
06/30/2021,72.751,73.206,72.634,73.108,0.358,+0.49%,36421
06/29/2021,72.201,72.835,72.146,72.75,0.552,+0.76%,33758
06/28/2021,72.166,72.287,72.078,72.198,0.035,+0.05%,29443
06/25/2021,72.247,72.403,72.025,72.163,-0.084,-0.12%,31247
06/24/2021,72.575,72.642,72.11,72.247,-0.326,-0.45%,36483
06/23/2021,72.859,72.991,72.334,72.573,-0.286,-0.39%,38071
06/22/2021,73.082,73.283,72.792,72.859,-0.222,-0.30%,35130
06/21/2021,72.773,73.325,72.761,73.081,0.307,+0.42%,40602
